SMILES,pIC50_cyp3a4,pIC50_cyp2d6,pIC50_cyp2c9,pIC50_cyp1a2
CCCS(=O)(=O)NC1=CC=C(F)C(C(=O)C2=CNC3=NC=C(C4=CC=C(C(=O)NCC)N=C4)C=C23)=C1F,,,5.3,
CN1N=CC2=CC(NC3=C4N=CC=CC4=NN3)=CC=C21,,,,6.28
NC1=NC2=C(C(=O)NC3=C(C4=CC=CC(Cl)=C4)ON=C3)C=NN2C=C1,,,,6.3
O=C1CCCCN1CC1=CC=C(OCCCN2CCC(CC3=CNC=N3)CC2)C=C1,,5.3,,
CC1=C(C2=NN=C(SCCCN3CC[C@@]4(C[C@H]4C4=CC=CC=C4)C3)N2C)OC=N1,,6.89,,
CCC1=NN(C2=CC=CC(C(=O)NCCCCC3=CC=CC=C3)=C2)C(C2=NC=C(OC)C=N2)=N1,,4.3,4.69,
CC1=CC(C(=O)N/N=C/C2=CC=C(Cl)C=C2)=C2C(C)=NN(C3=CC=CC=C3)C2=N1,4.02,,,
COC1=CC2=C(NC3=CC=CC=C3N3CCOCC3)C(C(N)=O)=CN=C2C=C1C1=C(C)ON=C1C,5.82,,5.29,
CCC(=O)C1=C(C)N(C2=CC=C(S(N)(=O)=O)C=C2)C(C2=CC=C(Cl)C=C2)=C1,,5.7,,
CC(C)S(=O)(=O)N1C(N)=NC2=CC=C(C3=C(C4=CC=C(F)C=C4)N=C(C(C)(C)C)N3)C=C21,4.5,,,
C1=CC=C(CC2(C3=CC=C4NC=CC4=C3)CCNC2)N=C1,,5.46,,
O=C(NC1=CC=NN=C1)C1=CC(N2CCOCC2)=CC=C1OCC1=CC=CC=C1,5.2,,,
NC(=O)N1C=C(NC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)NC2=CC=CC(OC(F)(F)F)=C2F)C2=CC=CC=C21,,,6.6,
COC1=NC=CN=C1[C@H](C)C1=C(CCN(C)C)CC2=CC(F)=CC=C12,,5.19,,
N#CC1=CC2=CC=C(C3=CC=CN=C3)C=C2CC1,,,,6.75
CC1=C(CCOC2=CC=C(C[C@@H]3CN(C4=NC=CC(C(F)(F)F)=N4)C[C@@H]3C(=O)O)C=C2)N=C(C2=CC=CC=C2)O1,,,5.5,
CN(CC1=CC=C(C(C)(C)C)C=C1)CC1=CC=CC2=CC=CC=C12,,6.52,,
C[C@H]1CN(CC2=CC=C(CC(=O)N3CCC(NC4=CC=C(F)C=C4)CC3)C=C2)CCN1,5.08,,,
N#CC1=CC=C(OC2=CC=C(S(=O)(=O)NC3=CC=C(F)C=N3)C=C2C#N)C=C1Cl,4.76,,5.38,
N#C[Se]CC1=CC=CC=C1C[Se]C#N,,,,6.7
CC1=CC(N2CCN(C)CC2)=CC2=C1N=C(C1=C(NC[C@@H](O)C3=CC=CC(Cl)=C3)C=CNC1=O)N2,5.46,,,
