Molecule_ID,InChIKey,SMILES,alpha,beta,delta,gamma
CFMOL_000001,AAAQFGUYHFJNHI-SFHVURJKSA-N,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,,,,25000.0
CFMOL_000002,AABNQRYFIHKFQR-UHFFFAOYSA-N,NC(=O)c1cnc(NC(=O)c2cccc(-c3cc(-c4ccnn4C4CCCCC4)c4c(N)ncnn34)c2)s1,,,10.0,
CFMOL_000003,AABPDGGGCNSJFP-QMMMGPOBSA-N,C[C@H](Nc1nc(N)nc(C(F)(F)F)c1C#N)c1nc2cccc(Cl)c2c(=O)n1-c1ccn[nH]1,10000.0,671.0,309.0,10000.0
CFMOL_000004,AAEQJVFRCOKAEE-UHFFFAOYSA-N,Cc1ccccc1Nc1ncc(CO)cc1NC(=O)c1cc(F)cc(C(F)(F)F)c1,5500.0,,,
CFMOL_000005,AAFBLTKTYVFOLS-UHFFFAOYSA-N,COc1ncc2cc1NS(=O)(=O)c1cccc(c1)C(=O)NCc1nc(cs1)-c1ncnc3cc-2sc13,123.0,,,
CFMOL_000006,AAGJUFFBIXYCPU-UHFFFAOYSA-N,Cc1ncc(-c2nc(-c3cc(S(=O)(=O)NC45CCC(CO)(CC4)OC5)ccc3C)cnc2N)s1,,,100.0,100.0
CFMOL_000007,AAHKGRWRYBCWDL-UHFFFAOYSA-N,CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,135.0,294.0,17.0,116.0
CFMOL_000008,AAHPRKDUIDQODH-UHFFFAOYSA-N,CN1CCC(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)c4cnn(C5CCN(Cc6ccccc6)CC5)c4n3)cc2)CC1,708.0,,,
CFMOL_000009,AAISIAHCALLSAM-XBMOYTETSA-N,COC[C@H]1OC(=O)/C(=C/N2CCN(C3CCN(C)CC3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,91.0,,,
CFMOL_000010,AAJJPPFJEBWFIA-UHFFFAOYSA-N,COc1cc(N(C)C)cc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,,18.5,,
CFMOL_000011,AAKDVCHEOWNPHE-UHFFFAOYSA-N,COc1cc2ncc3c(c2cc1-c1cn[nH]c1)n(-c1cn(C)nc1C)c(=O)n3C,30000.0,30000.0,30000.0,30000.0
CFMOL_000012,AAKJGXGPYVKGQA-UHFFFAOYSA-N,COc1ccc(Nc2cc(-c3cnc(N)nc3)nc(N3CCOCC3)n2)cc1OC,,,,142.0
CFMOL_000013,AAKOOCDMPALFJX-UHFFFAOYSA-N,Cc1cc(C(=O)Nc2ccc(C)nc2)c2nc(C)nc(N)c2c1,88.0,,,
CFMOL_000014,AALFLVYVPQEOFT-UHFFFAOYSA-N,CC(NC(=O)c1c(N)nn2cccnc12)C1CC(Cl)C2CNNC2C1C1=CCN(C(=O)OCc2ccccc2)CC1,,,2000.0,500.0
CFMOL_000015,AALXRNLICFMLQF-JTQLQIEISA-N,C[C@H](Nc1nc(N)nc(N)c1Cl)c1nc2cccc(Cl)c2c(=O)n1N1CCN(CC(F)(F)F)CC1,,,170000.0,10000000.0
CFMOL_000016,AAMKUWYDJAVAKV-UHFFFAOYSA-N,COc1ncc(-c2cc3c(C)nc(N)cc3n(C3CCCC3)c2=O)cc1NS(=O)(=O)c1ccc(F)cc1F,12.0,,,
CFMOL_000017,AAOBROJGIYHFTK-OAHLLOKOSA-N,COc1ncc(-c2ccc3ncn(C[C@@H](C)C(=O)NC4CC4)c(=O)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1Cl,2.7,,,
