SMILES,standard_value,InChIKey,pIC50,class,class_id
CC(Nc1nc(N)nc(C(F)(F)F)c1C#N)c1nc2cccc(Cl)c2c(=O)n1-c1ccn[nH]1,10000.0,AABPDGGGCNSJFP-UHFFFAOYSA-N,5.0,inactive,0
Cc1ccccc1Nc1ncc(CO)cc1NC(=O)c1cc(F)cc(C(F)(F)F)c1,5500.0,AAEQJVFRCOKAEE-UHFFFAOYSA-N,5.259637310505756,inactive,0
COc1ncc2cc1NS(=O)(=O)c1cccc(c1)C(=O)NCc1nc(cs1)-c1ncnc3cc-2sc13,123.0,AAFBLTKTYVFOLS-UHFFFAOYSA-N,6.910094888560602,active,1
CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,135.0,AAHKGRWRYBCWDL-UHFFFAOYSA-N,6.8696662315049934,active,1
CN1CCC(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)c4cnn(C5CCN(Cc6ccccc6)CC5)c4n3)cc2)CC1,708.0,AAHPRKDUIDQODH-UHFFFAOYSA-N,6.149966742310231,active,1
COCC1OC(=O)C(=CN2CCN(C3CCN(C)CC3)CC2)C2=C(O)C(=O)C3=C(C(OC(C)=O)CC4(C)C(O)CCC34)C21C,91.0,AAISIAHCALLSAM-UHFFFAOYSA-N,7.040958607678906,active,1
COc1cc2ncc3c(c2cc1-c1cn[nH]c1)n(-c1cn(C)nc1C)c(=O)n3C,30000.0,AAKDVCHEOWNPHE-UHFFFAOYSA-N,4.522878745280337,inactive,0
Cc1cc(C(=O)Nc2ccc(C)nc2)c2nc(C)nc(N)c2c1,88.0,AAKOOCDMPALFJX-UHFFFAOYSA-N,7.055517327849831,active,1
COc1ncc(-c2cc3c(C)nc(N)cc3n(C3CCCC3)c2=O)cc1NS(=O)(=O)c1ccc(F)cc1F,12.0,AAMKUWYDJAVAKV-UHFFFAOYSA-N,7.920818753952375,active,1
COc1ncc(-c2ccc3ncn(CC(C)C(=O)NC4CC4)c(=O)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1Cl,2.7,AAOBROJGIYHFTK-UHFFFAOYSA-N,8.568636235841012,active,1
CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)C2CCCCC2(F)F)c1,55000.0,AAOTYHCFSWYHSP-UHFFFAOYSA-N,4.259637310505756,inactive,0
Cc1ccccc1Nc1ncc(-c2cnn(C)c2)cc1NC(=O)c1ccccc1S(C)(=O)=O,55000.0,AAQFPWZLHGJRCK-UHFFFAOYSA-N,4.259637310505756,inactive,0
COCC1OC(=O)C(=CN(C)CCCN2CCN(C)CC2)C2=C(O)C(=O)C3=C(C(OC(C)=O)CC4(C)C(O)CCC34)C21C,10.0,AARBAVYWWQCGFS-UHFFFAOYSA-N,8.0,active,1
CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,4.0,AATCBLYHOUOCTO-UHFFFAOYSA-N,8.397940008672037,active,1
NC(=O)CNc1cnc2ccc(-c3ccc4oc(N)nc4c3)cc2n1,3.8,AATSTFNPRASINP-UHFFFAOYSA-N,8.42021640338319,active,1
CCCc1cc(S(C)(=O)=O)ccc1C(=O)N1CCOc2ccc(-c3ccc4nc[nH]c4c3)cc2C1,3000.0,AAVDYCALQCJXLM-UHFFFAOYSA-N,5.522878745280337,inactive,0
COc1ncc(N2CCOc3ccc(OC4CCN(C(=O)c5cnco5)C4)cc32)cc1C#N,94.0,AAZKJQXQGRGOED-UHFFFAOYSA-N,7.026872146400302,active,1
CCc1ncnc(-c2ccc(C(=O)N3CCCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,404.0,ABBYYXANEINXOV-UHFFFAOYSA-N,6.393618634889394,active,1
CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,3162.0,ABEVETPHKVRJTO-UHFFFAOYSA-N,5.50003813440381,inactive,0
Cc1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4C5CCC4COC5)n3)cc2)cc1,69.0,ABEZBUPUYCZAAU-UHFFFAOYSA-N,7.161150909262744,active,1
Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)cc(S(=O)(=O)C3CCOC3)c2)cn1,7600.0,ABFSEKIPQPPYFD-UHFFFAOYSA-N,5.119186407719209,inactive,0
CN(CC1CN(C(=O)C=Cc2nc(C(F)F)no2)C1)c1nc(OCC23CCCN2CC(F)C3)nc2c(F)c(-c3cccc4cccc(Cl)c34)ncc12,10.0,ABGNFFDATFTWBU-UHFFFAOYSA-N,8.0,active,1
